v,h,c3DP,cTM,weight,3DP profit,demand mean,disrupt. prob.,yield loss
29.47,8.47,8.47,3.33279894645122,1.41102,14.8828507037462,34157.1465,0.303857152095198,0.801932097659297
23.69,2.68,2.68,0.576229734238671,0.44719,46.9822670453275,96687.2752,0.303857152095198,0.801932097659297
25.1,4.82,4.82,0.940864647874976,0.80358,25.2370641379825,48113.2306930693,0.303857152095198,0.801932097659297
23.63,3.42,3.42,2.56257901321998,0.56986,35.464851016039,55432.496,0.303857152095198,0.801932097659297
22.52,2.41,2.41,0.427942212542318,0.40281,49.9242819195154,1420328.193,0.327791952826665,0.121826388978907
25.22,4.88,4.88,2.79398640915817,0.81337,25.0070693534308,360232.0314,0.327791952826665,0.121826388978907
23.62,3.55,3.55,1.23130518245856,0.59273,33.8602736490476,162911.8319,0.327791952826665,0.121826388978907
27.38,4.86,4.86,4.05595152366693,0.81078,27.7757221441081,104609.7918,0.327791952826665,0.121826388978907
24.88,4.64,4.64,2.79715006043503,0.77353,26.1657595697646,90165.8009,0.327791952826665,0.121826388978907
24.42,4.64,4.64,3.40992765902094,0.77332,25.5780272073656,86485.556,0.327791952826665,0.121826388978907
29.47,8.47,8.47,5.67780476943912,1.41102,14.8828507037462,34157.1465,0.327791952826665,0.121826388978907
23.63,3.42,3.42,1.17671756570867,0.56986,35.464851016039,55432.496,0.327791952826665,0.121826388978907
23.08,3.15,3.15,1.09208016149317,0.52561,37.9178478339453,43404.9396,0.327791952826665,0.121826388978907
24.14,4,4,1.11713232128249,0.66672,30.2075833933285,31040.72,0.327791952826665,0.121826388978907
30.39,9.19,9.19,1.92271925197706,1.53169,13.8409208129582,417137.1579,0.0138634422564994,0.46849444579773
22.52,2.41,2.41,1.06325971763663,0.40281,49.9242819195154,1420328.193,0.0138634422564994,0.46849444579773
23.2,3.23,3.23,2.32283040079655,0.53922,37.0349764474611,323340.3597,0.0138634422564994,0.46849444579773
25.4,4.95,4.95,4.74256822247119,0.82611,24.7545726356054,188176.574747475,0.0138634422564994,0.46849444579773
22.37,2.18,2.18,1.4219815464006,0.36389,55.4838000494655,197383.5467,0.0138634422564994,0.46849444579773
25.69,5.31,5.31,4.06702604832499,0.88472,23.0355366669681,70324.8106060606,0.0138634422564994,0.46849444579773
22.61,2.71,2.71,1.5423507633991,0.45292,43.9371191380376,103279.5005,0.0138634422564994,0.46849444579773
25.1,4.82,4.82,1.21462177702049,0.80358,25.2370641379825,48113.2306930693,0.0138634422564994,0.46849444579773
22.57,2.86,2.86,0.124511261330038,0.47744,41.2826742627346,68452.7715151515,0.0138634422564994,0.46849444579773
24.14,4,4,0.54170718370853,0.66672,30.2075833933285,31040.72,0.0138634422564994,0.46849444579773
23.32,3.34,3.34,0.875762407661714,0.55747,35.8404936588516,629639.8392,0.431210428166682,0.0988885938129035
22.55,2.71,2.71,2.58258770536676,0.45171,43.9219853445795,471360.2469,0.431210428166682,0.0988885938129035
23.57,3.56,3.56,0.440847364117672,0.59305,33.7408312958435,335539.346435644,0.431210428166682,0.0988885938129035
23.06,3.08,3.08,1.55400060891754,0.51415,38.8602547894583,385881.2777,0.431210428166682,0.0988885938129035
22.12,2.51,2.51,1.09675361656571,0.41889,46.8141994318317,235873.1674,0.431210428166682,0.0988885938129035
22.35,2.77,2.77,2.58191695870318,0.46194,42.3864571156427,176486.710909091,0.431210428166682,0.0988885938129035
23.69,2.68,2.68,1.80121642618557,0.44719,46.9822670453275,96687.2752,0.431210428166682,0.0988885938129035
25.1,4.82,4.82,3.27056691544363,0.80358,25.2370641379825,48113.2306930693,0.431210428166682,0.0988885938129035
23.63,3.42,3.42,1.25459013971858,0.56986,35.464851016039,55432.496,0.431210428166682,0.0988885938129035
23.08,3.15,3.15,1.45942827261036,0.52561,37.9178478339453,43404.9396,0.431210428166682,0.0988885938129035
22.3,2.44,2.44,0.569190764852229,0.40712,48.7816859893889,836884.5489,0.474984372420277,0.546407659375472
25.22,4.88,4.88,1.35078732018508,0.81337,25.0070693534308,360232.0314,0.474984372420277,0.546407659375472
22.39,2.53,2.53,0.679613522586421,0.42184,47.0794614071686,569751.398910891,0.474984372420277,0.546407659375472
24.54,4.14,4.14,4.04228584997368,0.69121,29.5134619001461,267628.1191,0.474984372420277,0.546407659375472
23.62,3.55,3.55,1.4328795758879,0.59273,33.8602736490476,162911.8319,0.474984372420277,0.546407659375472
22.11,2.29,2.29,0.544182110782753,0.38258,51.8061581891369,224744.7068,0.474984372420277,0.546407659375472
25.77,5.08,5.08,3.55986209714913,0.84777,24.4052042417165,72267.4336633663,0.474984372420277,0.546407659375472
29.47,8.47,8.47,5.35702660575842,1.41102,14.8828507037462,34157.1465,0.474984372420277,0.546407659375472
25.1,4.82,4.82,0.303770421975101,0.80358,25.2370641379825,48113.2306930693,0.474984372420277,0.546407659375472
24.93,4.65,4.65,3.36819170120011,0.77583,26.1397471095472,41900.3292,0.474984372420277,0.546407659375472
24.84,4.54,4.54,2.7520721893359,0.75643,26.8365876551697,391906.063663366,0.0529136934197191,0.0610926402977047
24.54,4.14,4.14,1.84353965692255,0.69121,29.5134619001461,267628.1191,0.0529136934197191,0.0610926402977047
